Item,Qty
STT-STB-ACC-000001,50000
STT-STB-CAB-000001,50000
STT-STB-CAP-000001,45000
STT-STB-CAP-000002,100000
STT-STB-CAP-000003,50000
STT-STB-CAP-000004,150000
STT-STB-CAP-000005,50000
STT-STB-CAP-000006,50000
STT-STB-CAP-000007,50000
STT-STB-CAP-000008,200000
STT-STB-CAP-000009,100000
STT-STB-CAP-000010,105000
STT-STB-CAP-000011,45000
STT-STB-CAP-000012,360000
STT-STB-CAP-000013,200000
STT-STB-CAP-000014,45000
STT-STB-CAP-000015,52000
STT-STB-CAP-000016,345000
STT-STB-CAP-000017,45000
STT-STB-CAP-000018,300000
STT-STB-CAP-000019,45000
STT-STB-CAP-000020,45000
STT-STB-CAP-000021,150000
STT-STB-CAP-000022,3105000
STT-STB-CAP-000023,100000
STT-STB-CAP-000024,50000
STT-STB-CAP-000025,200000
STT-STB-CAP-000026,200000
STT-STB-CAP-000027,250000
STT-STB-CAP-000028,52000
STT-STB-CAP-000029,400000
STT-STB-CAP-000030,50000
STT-STB-CAP-000031,450000
STT-STB-CAP-000032,50000
STT-STB-CAP-000033,200000
STT-STB-CAP-000034,704000
STT-STB-CAP-000035,600000
STT-STB-CAP-000036,50000
STT-STB-CON-000001,50000
STT-STB-CON-000002,50000
STT-STB-CON-000003,50000
STT-STB-CON-000005,50000
STT-STB-DIO-000001,51000
STT-STB-DIO-000002,102000
STT-STB-DIO-000003,150000
STT-STB-DIO-000004,51000
STT-STB-DIO-000005,51000
STT-STB-DIO-000006,150000
STT-STB-DIO-000007,50000
STT-STB-DIO-000008,51000
STT-STB-DIO-000009,51000
STT-STB-DIO-000010,51000
STT-STB-DIO-000011,51000
STT-STB-DIO-000012,50000
STT-STB-ELE-000001,50000
STT-STB-ELE-000002,50000
STT-STB-HES-000001,50000
STT-STB-ICI-000001,50000
STT-STB-ICI-000002,50000
STT-STB-ICI-000003,50000
STT-STB-ICI-000004,50000
STT-STB-ICI-000005,50000
STT-STB-ICI-000006,50000
STT-STB-ICI-000007,50000
STT-STB-ICI-000008,50000
STT-STB-ICI-000009,150000
STT-STB-ICI-000010,50000
STT-STB-ICI-000011,50000
STT-STB-ICI-000012,50000
STT-STB-ICI-000013,150000
STT-STB-ICI-000014,100000
STT-STB-IND-000001,52000
STT-STB-IND-000002,52000
STT-STB-IND-000003,60000
STT-STB-IND-000004,51000
STT-STB-IND-000005,51000
STT-STB-IND-000006,148000
STT-STB-IND-000007,50000
STT-STB-IND-000008,150000
STT-STB-IND-000009,150000
STT-STB-LBL-000001,6250
STT-STB-LBL-000003,50000
STT-STB-LBL-000004,50000
STT-STB-LBL-000005,150150
STT-STB-LED-000001,50150
STT-STB-LED-000002,50150
STT-STB-LED-000003,50150
STT-STB-LED-000004,24000
STT-STB-MEC-000001,50000
STT-STB-MEC-000002,50000
STT-STB-MYL-000002,50000
STT-STB-NUT-000001,50000
STT-STB-NUT-000002,50000
STT-STB-OSC-000001,50150
STT-STB-OSC-000002,50150
STT-STB-PCK-000028,50000
STT-STB-RES-000001,50150
STT-STB-RES-000002,50000
STT-STB-RES-000003,50000
STT-STB-RES-000004,50000
STT-STB-RES-000005,100000
STT-STB-RES-000006,50000
STT-STB-RES-000007,50000
STT-STB-RES-000008,52000
STT-STB-RES-000009,50000
STT-STB-RES-000010,50000
STT-STB-RES-000011,50000
STT-STB-RES-000012,50000
STT-STB-RES-000013,50000
STT-STB-RES-000014,50000
STT-STB-RES-000015,50000
STT-STB-RES-000016,50000
STT-STB-RES-000017,50000
STT-STB-RES-000018,100000
STT-STB-RES-000019,1250000
STT-STB-RES-000020,100000
STT-STB-RES-000021,50000
STT-STB-RES-000022,500000
STT-STB-RES-000023,650000
STT-STB-RES-000024,250000
STT-STB-RES-000025,860000
STT-STB-RES-000026,500000
STT-STB-RES-000027,300000
STT-STB-RES-000028,100000
STT-STB-RES-000029,150000
STT-STB-RES-000030,50000
STT-STB-RES-000031,450000
STT-STB-RES-000032,50000
STT-STB-RES-000033,50000
STT-STB-RUB-000001,200000
STT-STB-SCR-000001,150000
STT-STB-SCR-000002,150000
STT-STB-TRN-000001,51000
STT-STB-TRN-000002,51000
STT-STB-TRN-000003,51000
STT-STB-TRN-000004,51000
STT-STB-TRN-000005,252000
